PoolArea,GarageCars,Fireplaces,TotRmsAbvGrd,Baths,SqFeet,CentralAir,Age,LotSize,BldgType,HouseStyle,condition,yhat
0,2,0,6,2,1516,1,45,10004,0,2,6,177.1335255940629
0,1,0,4,1,616,1,85,6000,0,2,7,47.32298664344546
0,1,1,8,2,1696,1,45,13673,0,2,5,175.73341157419082
0,2,0,6,3,1479,1,34,13517,0,0,8,191.71211583654448
0,2,1,8,2,2217,1,37,15865,0,2,6,266.86716837594975
0,2,1,7,4,1868,1,23,12090,0,4,7,241.5403225786407
0,1,0,4,1,936,1,54,5868,0,2,7,114.97366667541841
0,2,2,5,3,2127,1,14,10944,0,0,5,278.91924996846853
0,0,0,8,1,1184,1,96,8410,0,1,3,22.338646279456967
0,3,1,7,2,2084,1,1,14803,0,2,5,303.51610204746146
0,0,0,8,2,1440,1,30,7711,2,2,3,103.5921713127372
0,2,0,6,3,1640,1,5,7226,0,0,5,208.42081511892562
0,0,0,10,2,1800,0,46,8000,2,2,4,134.9558303787011
0,1,0,6,1,1050,1,45,10659,0,2,6,122.10765662738902
0,0,1,5,1,840,1,77,4388,0,3,7,72.69397226151673
0,3,0,7,1,1344,0,92,4571,0,0,5,123.21576520133834
0,3,1,8,3,2612,1,11,12203,0,0,5,327.68108320148184
0,2,1,6,2,1146,1,4,9590,0,4,5,191.16740106665014
0,2,1,7,3,1690,1,7,8063,0,0,5,220.6662245899668
0,1,1,8,1,1576,1,78,6240,0,1,6,141.33789658387394
0,3,1,7,2,1976,1,1,14977,0,2,5,292.36479730486724
0,2,1,5,2,1381,1,38,9360,0,2,7,196.3030253629922
0,2,0,7,2,1700,1,3,9135,0,2,5,229.2288855838207
0,2,0,6,1,1235,1,45,8500,0,2,3,128.1821616633759
0,1,1,4,1,778,1,68,6900,0,2,6,85.99260634805073
0,2,1,7,3,1838,1,1,21930,0,0,5,248.7490292610689
0,2,2,8,3,1960,1,8,7851,0,0,5,256.436228510252
0,1,0,6,1,1096,1,37,15870,0,2,5,128.20700880944995
0,2,1,8,3,2060,1,10,8755,0,0,5,252.61553303297453
0,2,0,7,2,1709,1,2,2522,4,0,5,203.33510890673972
0,1,0,5,1,894,1,41,7094,0,2,5,102.42840928730598
0,3,1,8,2,2097,1,1,20896,0,2,5,304.03628569206546
0,0,2,4,1,788,1,65,7446,0,2,5,75.85785473116954
0,2,0,11,2,2138,0,111,8100,0,5,5,155.9675065621986
0,2,1,6,2,1368,1,1,6792,3,2,5,196.41980668243124
0,1,2,7,1,1520,1,55,9600,0,4,6,185.26106667194298
0,2,1,5,1,1375,1,52,11310,0,2,5,171.72376990202787
0,2,2,12,3,3082,1,89,15863,0,6,3,266.6812304007625
0,1,2,7,2,1644,1,65,9480,0,0,7,177.25269390288932
0,2,1,10,3,2263,1,8,12090,0,0,5,270.4281602175571
0,2,1,6,3,1574,1,30,18800,0,0,5,191.2043995700354
0,1,1,4,2,1304,1,32,2665,3,0,6,148.46078232141534
0,2,0,6,1,1054,1,47,8800,0,7,7,158.0587194560892
0,4,1,8,2,2640,0,129,11700,0,0,7,255.3801001010949
0,2,1,5,2,1298,1,21,11200,0,2,5,187.68827319194247
0,0,0,8,2,2358,0,136,5250,0,0,5,114.24200301082246
0,2,0,5,3,1250,1,2,4017,3,0,5,157.92972567678004
0,1,0,4,1,833,1,52,5400,0,2,7,106.28502488455595
0,3,1,6,2,1646,1,1,10656,0,2,5,259.66204816966
0,2,0,4,1,845,1,25,7599,0,2,6,145.94469702589825
0,2,0,7,1,1869,1,119,8820,0,1,6,135.75361371065136
0,2,1,6,1,1194,1,47,8910,0,2,6,163.77582424993713
0,2,2,7,3,2090,1,36,10382,0,0,6,253.26003646992984
0,2,1,8,3,2090,1,12,10000,0,0,5,254.05351283138958
0,1,0,6,1,1041,1,50,9600,0,2,6,115.15615901107422
0,2,1,6,2,1434,1,8,8529,0,2,5,211.62675764230187
0,1,1,6,2,1691,1,86,5000,0,1,6,140.40113635416074
0,0,0,5,1,990,1,13,8070,0,2,5,126.64763610773912
0,2,1,5,2,958,1,31,4928,3,2,5,123.13752752835542
0,2,0,6,2,1040,0,56,8544,2,2,4,93.59144896524688
0,0,0,6,2,1225,1,51,9320,0,2,5,95.49252115228973
0,2,0,6,2,1224,1,45,9842,2,2,5,126.62583157572412
0,2,1,8,3,2035,1,9,9505,0,0,5,251.4539614405437
0,2,1,7,2,1586,1,30,17043,0,2,5,203.20608661891802
0,3,1,8,3,2098,1,1,10240,0,0,5,284.50579983391873
0,2,1,5,1,894,1,39,8724,0,2,5,135.04117594627093
0,2,1,6,3,1786,1,7,11250,0,0,5,235.51321322508775
0,2,1,7,3,2380,1,42,18450,0,0,5,258.02468506172386
0,3,1,9,3,2520,1,12,9950,0,0,5,312.5450788608122
0,3,1,7,2,1646,1,1,9520,0,2,5,255.68666102848886
0,2,0,5,1,900,1,59,7200,0,2,7,120.06864587607588
0,1,1,7,2,1487,1,65,8741,0,1,4,120.99777872377135
0,1,0,6,1,1472,1,82,9600,0,1,8,141.7943188052988
0,2,0,6,2,1053,1,48,8973,0,2,7,135.05890064706034
0,2,1,4,1,1110,1,31,9101,0,7,6,191.3002633163849
0,1,0,4,0,480,0,57,9000,0,2,3,45.39293480008058
0,1,0,8,3,1656,1,93,10410,0,1,7,111.3999381269764
0,2,0,6,1,1128,1,90,7500,0,1,4,74.17706632302625
0,2,2,7,2,2108,1,73,13728,0,0,7,235.74084114542273
0,3,1,10,3,2574,1,0,9588,0,0,5,327.8525829386307
0,1,0,4,1,1022,0,99,7200,0,2,4,53.69952502625945
0,2,1,11,3,2872,1,31,12227,0,0,7,324.4346833317802
0,3,0,7,2,1580,1,1,11932,0,2,5,237.487689283027
0,2,1,9,3,2872,1,15,10678,0,1,5,331.11237022582185
0,1,0,5,1,1319,1,56,10634,0,2,6,141.31989302072753
0,3,1,7,3,2450,1,11,16545,0,0,5,316.2104087938021
0,2,0,7,2,1416,1,89,25339,0,2,7,130.87737422285755
0,2,0,6,2,1039,1,45,11625,1,2,4,103.45509285464745
0,2,1,5,1,1004,1,40,11241,0,2,7,166.134712096031
0,2,1,5,2,1178,1,35,10000,0,2,6,168.97452026358292
0,2,1,7,2,2158,1,57,12615,0,2,7,250.41787552241982
0,2,1,10,3,2358,1,100,45600,0,1,8,224.45998013230204
0,3,1,9,3,2646,1,16,9900,0,0,5,321.17722796932264
0,2,1,5,2,1432,1,29,16157,0,4,7,219.1340502044032
0,3,1,7,2,1704,1,3,11478,0,2,5,260.34545197686805
0,2,0,4,1,988,1,54,21750,0,2,5,124.90656757363904
0,2,1,7,3,1922,1,6,7301,0,7,5,261.5704979364209
0,3,1,9,3,2020,1,0,12220,0,2,5,279.46191377268076
0,2,0,8,1,2019,0,99,11414,0,0,8,197.31983614060772
0,2,1,8,3,1593,1,4,7415,0,0,5,210.15278177689015
0,3,1,7,2,1416,1,93,12665,0,1,8,158.15310471943639
0,2,2,7,1,1644,1,56,9600,0,2,5,199.92379610364134
0,3,1,10,3,2576,1,0,12438,0,0,5,329.3000664056181
0,2,1,6,2,1358,1,4,8198,3,2,5,192.6586063712759
0,2,1,7,3,1775,1,16,9317,0,0,5,220.04812328813736
0,1,0,6,3,1302,1,37,1680,4,0,7,117.20808608763151
0,2,2,5,1,1363,1,54,39104,0,2,7,212.40497402755625
0,2,0,7,3,1476,1,4,8633,0,0,5,189.61415773650268
0,2,0,6,2,1470,1,10,13869,0,0,6,208.34636204209482
0,1,0,5,1,923,1,24,6951,0,2,5,124.26893758440083
0,1,0,5,1,1224,1,83,3950,0,1,8,115.9266642813129
0,2,1,8,3,1658,1,13,8000,0,0,5,207.16463509912393
0,1,0,5,1,1109,1,36,10500,0,4,7,156.06365323879282
0,1,0,6,2,1346,0,97,11767,0,0,7,99.13909827308666
0,2,1,5,1,1028,1,83,8960,0,2,6,110.02430819884773
0,2,1,5,1,912,1,29,7540,0,7,6,168.779348862609
0,2,0,7,3,1720,1,2,11645,0,0,5,218.51098814465632
0,2,0,4,1,864,1,38,10500,0,2,6,134.73775351927046
0,2,1,9,3,2614,1,34,10800,0,0,7,300.623411242308
0,1,0,7,1,1200,1,83,11340,0,2,5,82.45770919584868
0,2,0,6,2,1040,0,59,8544,2,2,4,90.25825988842561
0,1,1,6,1,1060,1,42,8246,0,2,8,157.49294960450203
0,1,0,6,2,1256,1,43,9937,0,2,6,135.00400605475485
0,2,0,6,2,1274,1,2,8814,0,2,5,189.39741430083458
0,2,0,6,2,1232,1,2,7314,0,2,5,184.37895630568465
0,2,1,6,2,1142,1,31,4224,3,2,5,138.47748852844646
0,0,0,6,1,774,1,76,4270,0,2,6,38.900115524376886
0,1,0,4,1,747,1,65,4608,0,2,6,72.71924477805595
0,2,0,7,2,1582,1,42,36500,0,2,5,185.5330155622304
0,1,1,5,1,1136,1,43,9200,0,2,6,148.50361885240736
0,2,1,5,2,1644,1,20,12800,0,4,5,230.03671474888006
0,2,0,6,3,1553,1,1,8125,0,0,5,204.21211799955165
0,3,1,10,3,2184,1,1,11308,0,0,5,286.9477279398477
0,3,0,7,2,1694,1,0,12030,0,2,5,250.49208181979455
0,1,0,6,1,1440,0,106,5000,0,1,4,79.16843927413353
0,2,0,5,1,884,1,24,9180,0,7,7,169.58763758190912
0,1,0,7,2,1134,0,67,8160,0,1,6,97.83200293289684
0,1,0,5,1,894,0,47,6600,0,2,5,104.26397041972058
0,2,0,8,4,2601,1,87,9842,0,0,6,210.79952287229574
0,2,0,6,2,1221,1,5,7500,0,2,5,179.9831767706565
0,1,0,5,1,899,1,42,7800,0,2,7,121.8191473084829
0,2,1,6,1,1086,1,40,13400,0,4,5,157.0152199226107
0,2,1,7,3,1982,1,18,11287,0,0,6,250.03869661674634
0,2,1,9,3,2021,1,0,23257,0,0,5,262.4981646276086
0,2,0,7,3,1674,1,10,7500,0,0,5,203.0377978735609
0,2,0,6,2,1338,1,9,4920,3,2,5,171.21137979757452
0,2,0,8,3,1724,1,10,8924,0,0,5,205.37353259802921
0,2,1,8,2,1539,1,104,10440,0,0,8,134.68731058136552
0,2,0,5,2,1125,1,1,8536,0,2,5,178.37978064845353
0,2,1,6,1,1382,1,47,19296,0,4,5,182.57243233877037
0,2,1,7,3,1852,1,0,8640,0,0,5,245.5351018248748
0,2,1,7,2,1350,1,35,10140,0,2,5,170.11534766232202
0,2,1,10,3,1886,1,8,11214,0,0,5,230.85666265442663
0,1,0,6,1,930,1,64,11100,0,2,7,98.5523235870319
0,1,0,6,1,1252,1,58,9600,0,1,5,116.07759949322764
0,2,1,6,2,1316,1,1,10237,0,2,5,207.88055504575232
0,1,0,4,2,1112,1,34,2592,3,0,3,84.34826335081324
0,1,2,4,1,804,1,70,7200,0,2,7,108.82834766833801
0,1,0,5,1,864,1,36,9353,0,2,5,105.84764507162126
0,0,1,5,1,1124,1,52,8335,0,2,5,109.74832361500935
0,0,0,7,1,1198,1,88,5586,0,1,7,74.2854612553605
0,2,0,12,2,2240,1,30,7018,2,0,5,222.2189993131858
0,1,1,6,2,1632,1,51,9600,0,2,6,177.4425747953075
0,2,1,5,1,1103,1,81,6000,0,2,6,118.75553136353766
0,2,1,6,2,1262,1,31,9600,0,2,8,198.17056543579457
0,0,0,8,2,1664,0,45,9825,2,2,5,139.52304932771642
0,2,1,6,2,1484,1,1,9037,0,2,5,224.82282571284006
0,2,0,5,1,1026,1,40,7930,0,2,8,164.43198018824245
0,1,0,6,2,1668,1,59,9600,0,1,8,177.29748221129574
0,3,1,5,1,1842,1,25,50271,0,2,5,284.50902369416156
0,2,1,9,3,1983,1,10,10762,0,0,5,242.00273551465713
0,1,0,7,1,1221,1,82,9738,0,1,7,102.44321812977951
0,2,1,6,2,1414,1,2,3072,3,2,5,198.47263392712256
0,2,0,5,1,1196,1,91,4800,0,2,7,114.24102811637869
0,1,1,6,1,1422,1,47,12342,0,2,5,161.8378830791454
0,2,0,10,2,2134,0,93,11888,0,5,6,190.51715549305894
0,1,1,5,1,1348,1,84,6000,0,1,8,140.984577435349
0,2,0,6,1,894,1,37,7200,0,2,5,120.73204846398893
0,2,1,7,3,1647,1,8,7917,0,0,5,215.02165751491742
0,2,0,5,1,1252,1,98,7438,0,1,8,120.98306585893172
0,2,0,5,2,1224,1,10,4500,3,2,5,161.54823323599197
0,3,1,7,2,1800,1,4,14331,0,2,5,270.45481158041025
0,2,1,8,2,1250,1,97,5362,0,1,6,92.82535961707852
0,2,0,6,2,1208,1,0,6762,0,2,5,183.86611062486202
0,2,0,5,2,1258,1,37,11040,0,2,7,172.9713885018449
0,2,1,6,2,1253,1,12,7875,0,2,5,188.08246159536156
0,2,1,3,1,848,1,2,4435,3,2,5,161.09781509412508
0,2,0,6,1,954,1,30,10780,0,4,5,140.8773302734961
0,0,0,8,2,1768,0,42,10778,2,2,5,154.08190525306617
0,2,1,4,2,1247,1,1,3316,3,2,5,189.2921708026208
0,1,2,7,1,1494,1,67,7500,0,0,7,169.00253828903826
0,2,1,7,3,1714,1,22,10421,0,0,5,207.52075090070323
0,2,0,8,2,1621,1,22,14145,0,2,7,218.2790717745492
0,1,0,8,1,1750,1,126,9000,0,0,6,92.62133938113794
0,3,0,7,2,1694,1,2,10475,0,2,5,247.5936255126761
0,2,1,5,2,1392,1,53,11341,0,2,6,171.80470026558285
0,2,2,6,2,1224,1,30,7018,2,7,5,178.2715924458725
0,2,1,10,2,2898,1,32,15498,0,2,6,336.0926403749522
0,2,1,9,1,1771,1,49,21750,0,2,4,197.00066283679212
0,1,0,5,1,894,1,34,10650,0,2,6,121.58997694323614
0,3,1,9,3,3238,1,15,14720,0,1,5,388.2119756521272
0,1,2,7,2,1502,1,84,10592,0,0,7,141.86474358938062
0,2,1,7,3,1743,1,39,11700,0,0,6,202.04110282563857
0,2,0,5,1,990,1,11,13568,0,2,5,165.85021695076648
0,2,1,4,3,1512,1,7,2117,3,0,5,194.65226459965842
0,1,0,5,1,1029,1,46,7943,0,2,5,111.27608760707727
0,3,2,11,3,3222,1,20,12376,0,0,5,383.111651079859
0,3,1,7,2,1555,1,2,3684,3,2,5,227.2095516888877
0,2,2,7,1,1517,1,77,11435,0,0,7,179.28890497526726
0,2,1,7,3,1733,1,4,12394,0,0,5,230.35313772970906
0,2,1,6,2,1494,1,6,12803,0,2,5,221.94502669601133
0,2,1,7,3,1571,1,16,7837,0,0,7,217.87285414103332
0,2,1,7,3,2119,1,37,10448,0,4,6,251.95231322586915
0,2,0,6,2,1349,1,7,8450,0,2,5,191.48029811542443
0,2,1,7,2,1734,1,44,9786,0,1,7,217.26817144178784
0,2,1,8,3,1664,1,30,10140,0,0,5,189.8310546175975
0,2,1,7,3,2093,1,22,20544,0,0,6,261.1595203091249
0,2,1,7,3,1961,1,8,12209,0,0,5,249.52983286342837
0,2,0,6,2,1126,1,31,15611,0,2,6,154.5852241496113
0,1,1,5,1,894,1,45,8450,0,2,8,140.47349401542988
0,1,1,7,2,1738,1,89,12513,0,1,4,122.0651990583729
0,2,1,5,2,1646,1,4,3842,3,2,5,224.18393250876255
0,2,1,10,3,2353,1,29,13005,0,0,7,276.5245923256961
0,2,1,6,2,1442,1,39,11717,0,2,6,189.23950120180584
0,2,1,7,3,1441,1,31,2289,4,0,6,154.95179696569258
0,2,0,4,1,944,0,57,10206,0,2,3,101.0203182647607
0,1,2,6,2,1740,1,67,13125,0,0,6,180.2392754423984
0,1,0,7,2,1470,1,54,8172,0,1,6,138.49263745270116
0,2,0,6,3,1840,1,8,12420,0,0,5,228.13741095077592
0,1,0,7,2,1442,1,49,9750,0,2,6,144.11035951479872
0,2,1,6,2,1405,1,3,3136,3,2,5,196.4538249903297
0,1,2,7,2,1308,1,69,9600,0,1,7,140.219012055303
0,0,0,6,1,968,0,99,5925,0,1,6,40.66250664517341
0,2,1,8,2,1674,1,90,21780,0,1,7,161.65742171746774
0,1,1,7,1,1340,1,50,9060,0,2,6,154.90921909054654
0,1,1,6,1,1012,1,87,8263,0,2,5,73.00028726987215
0,1,0,6,1,1138,1,49,10482,0,4,8,150.98284493450274
0,3,1,7,2,1629,1,6,10655,0,2,5,248.85779127976332
0,3,2,7,2,2028,1,1,11443,0,2,5,308.62041761625073
0,0,0,4,1,864,1,87,4060,0,2,8,62.58046414565122
0,1,1,7,2,1159,1,38,11553,0,2,5,130.24701824395305
0,3,1,11,3,2828,1,1,9965,0,0,5,349.8283990294932
0,2,1,6,2,1518,1,5,12677,3,2,5,210.12820454389984
0,2,0,4,2,1218,1,0,7862,0,2,5,192.34667188422742
0,2,0,4,1,936,0,56,6000,1,2,4,104.1852261674317
0,3,1,7,2,1787,1,5,14781,0,2,5,268.1880748977028
0,2,0,6,2,1200,1,41,9230,0,2,8,168.06677716529117
0,2,1,7,3,1718,1,11,10141,0,0,5,220.03647546985584
0,1,0,6,1,864,1,31,7000,0,2,8,136.4107016258762
0,2,1,5,2,1352,1,1,4230,3,2,5,197.12353222807857
0,1,1,5,1,864,1,37,15523,0,2,6,129.64474928778057
0,2,2,10,3,3194,1,73,12168,0,0,6,317.24834341010467
0,0,0,10,2,1928,1,90,7082,1,0,8,130.15808256157925
0,2,1,12,4,2620,1,30,18890,2,1,5,260.7064636239261
0,0,0,8,2,1440,0,53,12108,2,2,4,98.5044311467256
0,2,0,5,3,1573,1,10,2117,4,0,5,176.66918002943123
0,2,0,4,1,764,0,83,5232,0,2,5,70.93261870134417
0,1,1,7,2,1489,1,69,9900,0,1,7,146.77797753591483
0,0,1,12,3,3086,1,61,18030,0,1,6,270.2516385614564
0,1,0,6,1,1194,1,51,8760,0,2,6,129.58464136531325
0,1,0,5,1,816,1,78,5890,0,2,8,82.199482679992
0,1,1,6,1,1236,1,45,6993,0,2,7,162.07312473981492
0,1,0,7,2,1387,1,55,6000,1,1,4,103.01111919345053
0,1,0,5,2,987,1,38,1869,4,0,6,87.50385268008091
0,2,1,6,3,1386,1,32,11616,0,0,5,166.3144025405545
0,1,0,5,1,835,0,90,10625,0,2,5,52.105630225875494
0,0,0,4,1,720,0,89,7879,0,2,5,26.254407989908177
0,2,0,10,2,2337,0,107,13600,1,0,5,170.4154582971308
0,2,0,6,2,1212,1,1,10420,0,2,5,184.76186894959207
0,2,2,7,2,1981,1,81,7804,0,1,3,174.01049627607242
0,2,0,4,1,1176,1,72,6000,0,1,9,154.66357131392198
0,2,0,4,1,860,1,27,8740,0,7,6,157.21200316612658
0,1,1,6,1,1412,1,70,6000,0,1,6,140.0362247986858
0,2,1,11,3,2978,1,43,11275,0,4,7,330.8540327423976
0,2,0,8,3,1861,1,4,13450,0,0,5,228.2500822784484
0,2,0,6,2,1040,0,57,8544,2,2,4,92.4803859396398
0,2,0,5,1,894,1,53,9450,0,2,5,107.41494932089837
0,2,0,5,2,1442,1,19,11851,0,2,5,192.77574673393966
0,2,0,6,2,1164,1,37,9600,0,2,5,139.41717925991858
0,1,1,5,1,1211,1,40,8250,0,2,5,149.38264943699699
0,1,2,7,2,1646,1,66,7128,0,5,5,167.0854583752797
0,2,0,6,2,1165,1,42,9020,0,4,7,157.9620646487628
0,2,3,7,3,1986,1,44,13600,0,0,6,247.34710631567742
0,2,1,7,3,1564,1,30,8400,0,0,6,191.99768444259706
0,1,0,5,1,892,1,42,7150,0,2,5,101.13379573597057
0,3,2,8,3,2633,1,6,11400,0,2,5,352.0308223252422
0,2,1,4,1,1524,1,31,23595,0,2,6,229.20717939848055
0,2,1,8,2,1716,1,46,9247,0,0,6,197.33489704078818
0,2,1,8,2,1796,1,45,7056,0,0,5,195.9718099709599
0,2,2,9,3,1953,1,15,53107,0,0,5,264.13341868853115
0,2,1,7,2,1710,1,5,12118,0,2,5,241.7308283836213
1,2,3,12,3,5642,1,0,63887,0,0,5,690.6717618170223
0,2,1,7,3,1968,1,39,11075,0,0,4,205.48384992169582
0,2,1,5,1,1118,1,67,7800,1,1,7,139.08066179763205
0,2,1,7,3,1800,1,9,8123,0,0,5,229.90508613775827
0,1,0,4,1,882,1,52,12702,0,2,5,94.87970799141326
0,3,0,6,2,1654,1,4,8125,0,2,5,243.67254672556174
0,2,0,8,2,1728,1,30,12640,2,2,5,189.93873642710523
0,0,0,2,1,334,0,61,5000,0,2,3,3.2735366063446953
0,2,1,10,3,3228,1,15,12692,0,2,5,367.80128007351084
